4,45
5,45
6,46
7,47
8,48
9,49
10,49
11,49
12,49
13,49
14,50
15,50
16,50
17,51
18,52
19,53
21,56
23,78
24,57
25,58
27,64
28,65
29,66
30,67
31,68
32,69
34,70
35,71
36,72
41,74
42,75
43,76
44,59
50,158
52,62
54,162
55,163
56,164
57,165
58,166
59,60
60,60
61,61
65,168
67,169
68,170
69,171
70,172
71,172
72,173
73,173
74,174
75,175
76,176
77,176
78,176
79,177
80,178
81,179
82,179
83,179
84,184
85,185
86,186
87,187
88,188
89,189
90,190
91,191
92,192
93,193
94,194
95,195
96,196
97,197
98,198
99,199
100,200
101,201
102,202
103,203
104,205
105,180
106,181
125,2
126,3
127,4
128,5
129,6
130,7
131,8
132,9
133,10
134,10
135,10
136,10
137,11
138,12
139,13
140,14
141,15
142,16
143,16
144,16
145,16
146,16
147,17
148,18
149,19
150,19
151,19
152,19
153,19
154,19
155,19
156,19
157,20
158,21
159,22
160,23
161,24
162,25
163,26
164,27
165,28
166,29
167,30
168,31
169,32
170,33
171,34
173,35
174,36
175,37
176,38
178,79
179,80
182,81
187,82
188,83
189,84
193,85
194,85
195,85
196,85
197,85
198,85
199,85
200,85
201,85
202,85
203,85
204,85
205,86
206,87
209,88
211,89
212,90
213,91
214,92
216,93
217,94
220,118
221,119
222,120
223,121
224,122
225,123
226,124
227,125
228,126
229,127
230,95
231,95
232,95
233,95
234,95
235,95
236,129
237,130
238,131
239,132
240,132
241,132
242,132
243,133
244,134
245,135
246,136
247,137
248,39
249,138
250,40
251,139
252,140
253,141
254,142
256,143
257,144
258,145
259,146
260,147
261,148
262,96
263,149
264,150
265,151
266,97
267,98
272,100
273,101
276,102
278,207
279,208
280,209
281,210
282,211
283,212
284,213
285,214
286,215
287,216
288,103
289,104
290,105
293,153
294,154
296,155
299,156
301,106
302,107
303,108
304,109
305,110
306,116
307,111
310,218
311,219
312,220
313,220
314,220
315,220
316,220
319,221
320,222
321,223
322,224
323,225
325,226
326,227
327,228
328,229
329,230
330,231
331,232
332,233
333,234
334,235
335,236
336,237
337,238
339,242
340,243
341,244
342,245
343,246
344,247
345,248
346,249
347,250
348,251
349,252
350,253
351,254
352,255
353,256
354,257
355,258
356,259
357,260
358,261
359,262
360,263
361,264
362,265
363,266
364,267
365,268
366,269
367,270
368,271
369,159
370,240
371,160
373,276
374,277
375,277
376,278
377,279
378,280
379,281
380,282
381,283
382,284
383,285
384,286
385,287
386,288
388,289
389,290
390,291
391,292
392,293
393,294
394,295
395,296
396,297
398,298
399,299
400,300
401,301
402,302
403,303
404,304
405,305
406,306
407,307
409,308
410,309
411,310
412,311
413,312
414,314
416,316
417,54
418,317
419,318
420,319
421,319
422,319
423,319
425,320
426,321
428,322
429,323
431,324
433,325
434,326
435,327
436,328
437,329
438,330
439,331
440,332
441,204
442,41
443,19
444,42
445,43
446,112
447,113
448,99
449,114
450,115
452,313
454,116
455,116
456,116
457,272
458,273
460,116
463,239
464,274
466,182
